intervention,count
Biological analysis,2
Low Dose Mesenchymal Stem Cells (MSCs),2
nailfold capillaroscopy,2
RC18 160 mg plus standard therapy,2
GDC-0853,2
Iguratimod,2
Prednisolone,2
voclosporin,2
blood sampling,2
ICP-022,2
mesenchymal stem cells,2
urine sample,2
Efavaleukin Alfa,2
Blood test,2
Ustekinumab (approximately 6 mg/kg),2
LY3471851,2
CFZ533,2
Nivolumab,2
Belimumab Injection,2
VIB7734,2
LY3361237,2
Heart rate variability,2
Schirmer's test,2
Traditional Chinese Medicine pattern,2
Traditional Chinese Medicine tongue diagnosis,2
Exercise,2
Elsubrutinib,2
MMF,2
DZP,2
TEACH,2
IL-2,2
Anterior Segment OCT,2
Assigned Interventions CD19/BCMA CAR T-cells,2
DS-7011a,2
Secukinumab,2
E6742,2
CUG252,2
Daxdilimab,2
Questionnaire,2
Saliva sample,2
Tissue sample,2
Urine sample,2
Deucravacitinib,2
ianalumab,2
Relma-cel,2
MIL62,2
GC012F injection,2
BRL-301,2
CC-97540,2
Glucocorticoids,2
KYV-101 anti-CD19 CAR-T cell therapy,2
Standard lymphodepletion regimen,2
lipid profile,2
Descartes-08,2
SG301 SC Injection,2
KYV-101,2
renal biopsy,2
AB-101,2
FT819,2
T cell injection targeting CD19 chimeric antigen receptor,2
NKX019,2
LCAR-AIO T cells,2
HC022,2
No Intervention: Observational Cohort,2
YK012,2
Budoprutug,2
UCAR-T cells,2
SHR-2173 Injection,2
Enpatoran,2
Standard of care (SoC),2
Rehabilitation counseling,1
Counseling intervention,1
Informational film,1
Premarin and Provera,1
Ortho-Novum 777,1
cyclosporin A,1
SQ Fludarabine,1
BG9588,1
ultraviolet A-1 light treatment,1
cytarabine,1
Educational materials,1
Tailored educational program,1
High-dose immunoablative therapy,1
Autologous Peripheral Blood Stem Cell Transplantation,1
cyclosporine,1
estradiol,1
ethinyl estradiol,1
medroxyprogesterone,1
norethindrone,1
Dexamethasone or other corticosteroid,1
CD34 selection,1
Stem Cell Transplantation,1
hLL2 (Epratuzumab),1
CD34+ Peripheral Blood Stem Cell Reinfusion,1
Ophthalmic Emulsion,1
2-deoxy-2 [F-18] fluoro-2-d-glucose,1
Abetimus sodium (LJP 394),1
GL701,1
MRA 003 US,1
"Vitamins: B6, B12, and folate",1
heart health educational program,1
pravastatin,1
ramipril,1
Placebo atorvastatin,1
Belimumab 4 mg/kg,1
No intervention; observational,1
Mesna,1
Rituxan (rituximab),1
autologous hematopoietic stem cell transplantation,1
fludarabine phosphate,1
immunologic technique,1
laboratory biomarker analysis,1
Phosphate-buffered saline,1
abetimus sodium (LJP 394) and/or placebo solution,1
CTLA4-IgG4m (RG2077),1
Triptorelin Pamoate,1
Triptorelin pamoate,1
Physical Therapy or Relaxation Therapy,1
3 mm-punch biopsies of the skin,1
quinipril,1
Education,1
Dehydroepiandrosterone (DHEA),1
edratide,1
Autologous CD34+HPC transplantation (HSCT),1
Growth colony stimulating factor (G-CSF),1
Intravenous immunoglobulin,1
Leukapheresis,1
Non-myeloablative high dose immunosuppressive therapy conditioning (HDIT),1
Plasmapheresis,1
Rabbit anti-thymocyte globulin,1
leflunomide combined with prednisone,1
Immune ablation and hematopoietic stem cell support.,1
Alendronate,1
Hematopoietic stem cell transplantation,1
Allogeneic Stem Cell Transplantation,1
Modafinil,1
Multitherapy,1
FK506,1
Hematopoietic Cell Transplantation,1
cyclophosphamide-prednisone-azathioprine,1
infliximab,1
Placebo to Azathioprine,1
Placebo to Mycophenolate mofetil,1
Dehydroepiandrosterone,1
Conjugated equine estrogens 0.625 mg/d + MPA 5 mg/d/10d,1
sirolimus,1
prednisolone and mycophenolate mofetil,1
prednisolone and tacrolimus,1
"MRI, Venipuncture",1
versus hydroxychloroquine,1
"ICI 182,780 (Faslodex)",1
laboratory analysis,1
Mycophenolate sodium,1
Corticosteroids (prednisone or prednisolone),1
Lupus Treatment- Standard of Care,1
intravenous immune globulin (IVIG),1
Methotrexate and folic acid,1
TRU-015,1
Cognitive-behavioral therapy of Meichenbaum,1
Acupuncture,1
continuation of azathioprine,1
switch to Myfortic,1
Calcitriol,1
Multivitamin,1
Peripheral lab draws,1
prednisolone,1
"Immunosuppressive regime (azathioprine, mycophenolate mofetil or methotrexate)",1
rhuMAb IFNalpha,1
52364 1 mg,1
52364 10 mg,1
52364 100 mg,1
52364 3 mg,1
52364 30 mg,1
Placebo Comparator: Cohort 1 Placebo,1
"Placebo Comparator: Cohorts 2, 3, 4 & 5 Two subjects each arm will be assigned to receive placebo",1
rituximab,1
FolateScan (Technetium Tc 99mEC20),1
LupusorbTM,1
Preventive Cardiology,1
fluzone,1
pneumovax,1
"Placebo, Pneumo23®",1
Prevenar® and Pneumo23®,1
cyclophosphamide or azathioprine,1
tacrolimus (FK506),1
mesenchymal stem cell,1
Ibandronate+alfacalcidol+calcium,1
placebo ibandronate+alfacalcidol+calcium,1
non-interventional,1
Busulfan,1
Campath,1
Reduced Intensity Allogeneic Transplant,1
Allogeneic MSC (AlloMSC),1
NKT-01,1
Vitamin D3 placebo,1
SBI-087,1
MRA,1
Magnetic Resonance Angiography (MRA),1
Magnetic resonance imaging,1
diffusion Imaging,1
perfusion imaging.,1
aspirin and meloxicam,1
Belimumab 100 mg SC,1
Comparator: Placebo,1
simvastatin,1
Immunoablation and Autologous Hematopoietic Stem Cell Transplantation,1
Fostamatinib Disodium (R935788),1
abatacept placebo,1
azathioprine,1
azathioprine placebo,1
N-acetylcysteine,1
Rapamycin,1
Human papilloma virus vaccine (cervarix),1
Omega-3,1
corn starch,1
flow-mediated dilation of the brachial artery,1
Nonmyeloablative allogeneic stem cell transplant,1
"Clinical and laboratory evaluations, transesophageal echocardiography, carotid duplex, transcranial duplex, and magnetic resonance of the brain",1
Tacrolimus+Mycophenolate mofetil,1
Tripterygium,1
human papillomavirus vaccination (Gardasil),1
tripterygium glycosides,1
AGS-009,1
Rontalizumab,1
NOX-E36,1
Sifalimumab,1
Physical Activity: Cardio training (CT),1
Physical Activity: Endurance exercise training (ET),1
Blood drawing only Group C,1
Group A SLE prospective study,1
Group B SLE one blood donation,1
paquinimod (ABR-215757),1
Focetria (Monovalent MF59-Adjuvanted vaccine),1
mycophenolate sodium,1
MEDI-545 600,1
Multi-target therapy,1
IFN-K,1
Pharmacokinetic analysis,1
Polymorphism Analysis,1
Vaccine,1
Prednisolone/Prednisone,1
sugar pill,1
Enteric-Coated Mycophenolate Sodium,1
Mind-Body Skills Training (MBST),1
Supportive Counseling (SC),1
MEDI-570 0.03 MG,1
MEDI-570 0.1 MG,1
MEDI-570 0.3 MG,1
MEDI-570 1 MG,1
Anti-pandemic H1N1 influenza vaccine,1
Velcade,1
Standard care plus Yoga,1
low dose combination of MMF and Tac,1
"Long-acting tacrolimus (Advagraf, Astellas Pharma)",1
Blood Sample,1
skin biopsy,1
creatine,1
placebo (dextrose),1
Tamibarotene,1
depot leuprolide acetate 3.75 mg,1
Cymbalta,1
CNTO 136,1
Levothyroxine,1
"Sifalimumab 1,200 mg",1
Sifalimumab 200 mg,1
Sifalimumab 600 mg,1
immunosuppressive treatment discontinuation,1
mycophenolate mofetil or azathioprine,1
ADVAGRAF,1
Mycophenolic Acid + prednison,1
cyclosporine +mycophenolic acid+prednison,1
pioglitazone,1
Oshadi D,1
Tacrolimus Sustained-release Capsules (ADVAGRAF),1
leflunomide placebo,1
leflunomide tablet,1
tacrolimus capsule,1
tacrolimus placebo,1
Arthritis Self Management Program,1
Milnacipran,1
GSK1550188 1mg/kg or 10mg/kg,1
Thymosin Beta 4 eye drops,1
Vehicle Control,1
blisibimod,1
PF-04236921,1
cholecalciferol,1
N-Acetylcysteine,1
vitamin D 25(OH)D,1
Anifrolumab 1000 mg,1
Anifrolumab 300 mg,1
Epratuzumab 100 mg,1
Epratuzumab 1200 mg,1
Epratuzumab 400 mg,1
Epratuzumab 600 mg,1
Zostavax vaccine,1
Phlebotomy,1
Belimumab 200 mg SC,1
Exercise training,1
GSK1550188 IV,1
GSK1550188 SC,1
Human Umbilical Cord derived MSCs,1
Anti-Macrophage Migration Inhibitory Factor (Anti-MIF) Antibody,1
hydroxychloroquine (Z0188),1
MEDI-546,1
Tacrolimus vs. Mycophenolate mofetil for Induction Therapy in Lupus Nephritis,1
Riboflavin,1
Multiple Dose Group: Belimumab SC 1 x 200 mg weekly,1
Multiple Dose Group: Belimumab SC 2 x 120 mg weekly,1
Single Dose Group: Belimumab IV 240 mg,1
Single Dose Group: Belimumab SC 1 x 200 mg,1
Single Dose Group: Belimumab SC 1 x 240 mg,1
Single Dose Group: Belimumab SC 2 x 120 mg,1
Belimumab plus Early Vaccination,1
Belimumab plus Late Vaccination,1
Cumulative corticosteroid exposure,1
GC,1
Tripterygium wilfordii Hook F,1
RTX infusions,1
Matching Placebo,1
ABT-199,1
HPV prophylactic vaccine Gardasil,1
GSK2586184 800mg single and repeat dose,1
GSK2586184 single dose taken with food,1
GSK2586184 single dose taken without food,1
Placebo-to-match GSK2586184,1
NNC0114-0006,1
Genotype Detection,1
1 mg/kg CNTO 136,1
10 mg/kg CNTO 136,1
4 mg/kg CNTO 136,1
Vitamin D3 400 IU,1
Vitamin D3 6000 IU,1
Supervised physical exercise,1
BMS-188667,1
Placebo matching with BMS-188667,1
Omalizumab,1
Standard of Care (SoC) Therapy,1
human umbilical cord derived MSC transplantation for SLE,1
Acthar,1
Steroid Drug,1
H.P. Acthar Gel,1
Methyl prednisolone,1
Oral prednisolone,1
GSK2586184 100 mg,1
GSK2586184 200 mg,1
GSK2586184 400 mg,1
GSK2586184 50 mg,1
81mg aspirin,1
extended release dipyridamole 200mg/aspirin 25mg,1
Chronic Disease Self-Management Program (CDSMP),1
Listserv,1
Mail-delivered arthritis kit,1
Support group,1
Ala-Cpn10,1
Psychotherapy,1
Employment and Arthritis: Making it Work,1
High-dose intravenous cyclophosphamide,1
Low-dose intravenous cyclophosphamide,1
calcitriol,1
Venous blood sampling,1
Belimumab 200 mg/mL,1
Questionnaire about quality of life and satisfaction,1
Acthar gel,1
Hydroxychloroquine or Chloroquine,1
GSK2586184 new formulation,1
GSK2586184 standard formulation,1
EPA and DHA supplementation,1
Atacicept 75 milligram (mg),1
Interleukin 2,1
Fish Oil,1
Olive Oil,1
Aerobic Exercise,1
Control Group,1
Tabalumab Auto-Injector,1
Tabalumab Prefilled Syringe,1
Nelfinavir,1
Allogeneic bone marrow transplant,1
Rabbit antithymocyte globulin,1
Total body irradiation,1
"Cyclophosphamide, Induction Phase",1
"Cyclophosphamide, Maintenance Phase",1
Bortezomib,1
Belimumab autoinjector,1
Voclosporin High Dose,1
Voclosporin Low Dose,1
Ixazomib,1
ACTHar gel,1
CellCept,1
Cyclophosphamide (CTX),1
Mizoribine (MZR),1
BMS-931699,1
Placebo matching BMS-931699,1
Coaching Sessions,1
Fitbit Activity Monitor,1
Smartphone Application,1
Rituximab with belimumab,1
Epratuzumab iv,1
Epratuzumab sc,1
MT-1303 High dose,1
MT-1303 Low dose,1
Renal Biopsy,1
Computerized patient decision-aid,1
Usual care (lupus pamphlet),1
Pharmaceutical Care,1
PET/CT,1
Pioglitazone,1
Concomitant Medication,1
Ustekinumab IV,1
Ustekinumab SC,1
therapeutic education,1
Serum collection,1
Ascension® MCP Finger Implant,1
denosumab,1
abatacept also known as Orencia also known as CTLA4-Ig,1
mycophenolic acid,1
ALX-0061,1
Web-based Cognitive Behavioral Therapy,1
GADD34 RNA level measurement.,1
Cyclophosphamide injections,1
Tacrolimus capsules,1
hrIL-2 active,1
hrIL-2 placebo,1
1: AID groups,1
2: Control groups,1
Matching placebo,1
Zostavax,1
Vaccination,1
BR-DIM,1
Hiomega-3 supplement of Naturalis® company -,1
High Dietary Sodium,1
Low Dietary Sodium,1
Brentuximab vedotin,1
MSC2364447C,1
Ezetimibe+Simvastatin Drug Combination,1
Mycophenolate Mofetil/Mycophenolic Acid,1
Composite Examination,1
BT063,1
"Education, Fitbit/FitViz, physiotherapist counselling.",1
Same intervention with a 9-week delay,1
prednisone discontinuation,1
JNJ-55920839,1
AMG 570,1
AMG 570 Matching Placebo,1
"""Walk With Ease""",1
High Dose Mesenchymal Stem Cells (MSCs),1
Experimental,1
Questionnaires,1
IFNα-Kinoid,1
ISA 51 VG,1
Autologous EBV specific CTL infusion,1
OMS721 (narsoplimab),1
TAB08,1
Placebo to match XmAb5871,1
XmAb5871,1
Qi Gong,1
Intravenous injection of Stromal Vascular Fraction Cells (SVF) containing ADSCs,1
Lipoaspiration,1
metformin,1
Hydrocortisone,1
BI 655064 dose 1,1
BI 655064 dose 2,1
BI 655064 dose 3,1
Acthar high dose (80 U),1
Acthar low dose (40 U),1
MEDI7734,1
Doppler ultrasound,1
RANKL/OPG ratio,1
bone densitometry,1
fan beam CT scan,1
Dapirolizumab pegol (DZP),1
polymerase chain reaction (PCR) technique of blood transcriptome analysis,1
Vagus nerve stimulation,1
BIIB068,1
Drug free,1
GC+HCQ,1
HCQ,1
green tea extract,1
RC18 240 mg plus standard therapy,1
RC18 80 mg plus standard therapy,1
TENS for sham stimulation,1
TENS for vagus stimulation,1
JNJ-56022473,1
Ultrasonography,1
Computed Tomography,1
Fluorine F 18 Clofarabine,1
Positron Emission Tomography,1
Steroids,1
LIN_NOW,1
LIN_WAIT,1
Acthar Gel,1
Placebo Gel,1
CTX-AZA,1
MMF-MMF,1
ILT-101,1
M2951,1
Chronic Disease Self-management Program (CDSMP),1
Hydroxychloroquine dosage,1
10% nifedipine cream,1
5% sildenafil cream,1
ANXA2,1
Placebo Oral Tablet,1
Trimethoprim-Sulfamethoxazole,1
Normal Saline,1
BIological analysis,1
JBT-101,1
RAYOS,1
Mindfulness Based Group Sessions,1
Aerobic exercise,1
Hydroxychloroquine reduced,1
Thalidomide,1
standard dose of HCQ,1
SC belimumab 200 mg,1
No Medical Intervention,1
"""Cholecalciferol"" and ""C. Xanthorrhiza""",1
"""Cholecalciferol"" and ""placebo""",1
allogenic bone marrow derived mesenchymal stem cells,1
Laboratory tests and cardiac imaging,1
Treadmill exercise training,1
Relaxing acupressure plus usual care,1
Sham acupressure plus usual care,1
Stimulating acupressure plus usual care,1
Usual care,1
BioCLIA Ro60,1
Artesunate,1
Cognitive behavioural approach,1
Personalised Exercise Programme,1
BMS-986165 Capsule,1
BMS-986165 Tablet,1
nicotinamide,1
Loestrin 1.5/30 (1.5 mg norethindrone acetate/30 μg ethinyl estradiol),1
Flash glucose monitoring system,1
Low-dose Aldesleukin (Proleukin®),1
Rituximab-placebo,1
Standard therapy (Excluding Immunosuppressants),1
Standard therapy (Including Immunosuppressants),1
Steroid Taper,1
PF-06835375,1
BOS161721,1
BI 655064,1
KZR-616,1
Dihydroartemisinin tablet,1
Placebo tablet,1
food questionnaire,1
hair,1
Mymee Program,1
APL-2,1
LN group,1
SLE group,1
the control group,1
VR-Biofeedback,1
"drug inducing arthritis, lupus, hepatitis, or capillary leak syndrom",1
Cardiovascular magnetic resonance,1
Use of UpToDate,1
Use of decision support tool,1
Ustekinumab 90 mg,1
Enalapril,1
Losartan,1
Multicomponent intervention,1
Moxifloxacin,1
Belimumab/Placebo,1
Mesenchymal stem cells,1
Placebo of Mesenchymal stem cells,1
Placebo of Mycophenolate Mofetil,1
real time PCR,1
AIDSVAX® B/E,1
AKBM-3031,1
CFZ533 Placebo,1
VAY736,1
VAY736 Placebo,1
Detection of circulating anti-GBM antibodies (using chemiluminescence method and indirect immunofluorescence (IIF) method).,1
Mesenchymal stem cells (MSC),1
Rivaroxaban,1
Warfarin,1
24h urin sample,1
Chloroquine,1
TAK-079,1
TAK-079 Placebo,1
Complete blood count,1
Peer Mentoring,1
Social Support Group,1
SMILE Computerized Decision-Aid,1
Behavioral Intervention,1
Cenerimod 0.5 mg,1
Cenerimod 1 mg,1
Cenerimod 2 mg,1
Cenerimod 4 mg,1
cenerimod 2 mg (ex-4 mg),1
Project EVO Multi- Treatment,1
blood samples,1
BI 705564,1
HAND EXERCISE,1
oral Prednisone 5mg,1
Biospecimen Collection,1
Cabozantinib,1
Fluoropyrimidine,1
Ipilimumab,1
Platinum Compound,1
Platinum Doublet,1
Autologous hematopoietic stem cell transplantation,1
PF-06700841 15 mg,1
PF-06700841 30 mg,1
PF-06700841 45 mg,1
Pentoxifylline,1
AC0058TA,1
Placebo AC0058TA,1
Psycho-social consequences of lupus erythematosus,1
Rheum iCMP,1
MSC treatment,1
Kidney Biopsy,1
PainCOACH,1
Traditional Chinese Medicine pulse diagnosis,1
Calm- Mindfulness Meditation smartphone application,1
PiCASO Intervention Group,1
Sham Comparator: Attention Control Group,1
KPG-818,1
SM934,1
Curcumin supplement,1
Doppler ultrasonography of renal arteries,1
Renal biopsy,1
The 24-hour urine protein test,1
complete blood counting (CBC),1
kidney function tests,1
Bliss-Believe,1
Placebo for elsubrutinib,1
Placebo for upadacitinib,1
Ramipril,1
Taking peripheral blood samples,1
ICU Care,1
Contemplative-Based Intervention for People Living with SLE,1
Health Enhancement Program (HEP),1
CIMT and baPWV measurement,1
supra-gingival scaling and polishing,1
supra/sub gingival root surface debridement,1
Placebo for Rozibafusp Alfa,1
Rozibafusp Alfa,1
Ustekinumab 90 milligram (mg),1
Immunogenicity,1
Custom-Made Foot Orthoses,1
hemodiafiltration with endogenous re infusion (HFR),1
Systemic lupus erythematosus disease activity index (SLEDAI),1
Individualized dose of rituximab,1
Standard dose of rituximab,1
Itolizumab [Bmab 600],1
Belimumab for IV,1
Belimumab for SC,1
XCSITE100 Stimulator - Active Sham,1
XCSITE100 Stimulator - Individualized alpha-tACS,1
XCSITE100 Stimulator - Individualized theta-tACS,1
Metformin,1
self-administred questionnaire,1
secukinumab,1
Pooled mesenchymal stem cell,1
Standard treatment according to the Clinical protocols,1
branebrutinib,1
branebrutinib placebo,1
"Urinary tissue factor (TF), tissue factor pathway inhibitor (TFPI) and plasmin",1
Solu-Medrol 1mg/kg,1
Solu-Medrol 250 mg,1
Exposure of interest (studies 2 & 3).,1
high-intensity laser Device.,1
serum ceramides level in blood,1
Experimental - Test Results and Education,1
Zishenqing,1
Ultrasonography assessment,1
questionnaires,1
renal biopsy and blood sampling,1
Mindfulness- Based Intervention,1
human amniotic mesenchymal stem cell,1
description of a lupus patient cohort,1
Flow cytometry analysis of urine samples,1
COVID-19 infection,1
Questionnaire by phone call,1
Pillsy,1
Blood sampling to include Deoxyribonucleic Acid (DNA) and Ribonucleic Acid (RNA),1
Telemedicine,1
BAFF serum levels,1
Guselkumab Dose 1,1
Guselkumab Dose 2,1
CALLS,1
PROM registration via the DANBIO WebApp and the outpatient touchscreen in a randomised order,1
cyclo phosphamide,1
mycophenolate,1
Living well with Lupus,1
Belimumab Injection [Benlysta],1
Repeat kidney biopsy,1
Placebo for Elsubrutinib,1
Placebo for Upadacitinib,1
GaAlAs semiconductor diode laser device,1
Patient Navigator Services,1
COVID 19 Self-Questionnaire,1
COVID 19 serology,1
Benazepril Pill,1
Lisinopril Pills,1
Recombinant zoster vaccine,1
endoscopy,1
neuromuscular ultrasound,1
Serological test,1
Monogenic lupus screening,1
different serum and urine biomarkers,1
Serum galectin-9 level,1
Background Therapy,1
Ravulizumab,1
KPG-818 high dose,1
KPG-818 low dose,1
KPG-818 mid dose,1
Zanubrutinib,1
. MEFV genetic testing,1
Myfortic,1
M5049,1
GLPG3970 film-coated tablet,1
Placebo film-coated tablet,1
Administration of Methylprednisolone + Prednisone + Mycophenolate mofetil,1
"Administration of methylprednisolone, paracetamol and dexchlorpheniramine",1
Obinutuzumab administration,1
Intense pulsed light (IPL) treatment,1
36-Item Short Form Survey (SF-36),1
EULAR Sjögren's Syndrome Patient Reported Index (ESSPRI),1
Ocular Surface Diseast Index (OSDI),1
Best Practice,1
Educational Intervention,1
Interview,1
Questionnaire Administration,1
Survey Administration,1
CoronaVac,1
sandimmun,1
Cue-Reward Intervention,1
Cue-Reward Intervention with possible intensification,1
Blood collection for lipid profiling by LC-MS,1
Daratumumab Injection,1
ALPN-101,1
CS20AT04 (allogenic bone marrow derived mesenchymal stem cell),1
mRNA COVD19 vaccine,1
App based mindfulness program (ABMP),1
Optvue OCT,1
Daratumumab,1
Ciclesonide,1
Niclosamide,1
Sotrovimab,1
Pre-emptive increase of immunosuppressive treatments,1
Prednisolone and/or AZA/MMF,1
Medi-546,1
biomarkers detection in different groups,1
Afimetoran,1
Collection of samples,1
HB-adMSCs,1
Markers data from PBMCs,1
SHR-1314,1
Acetaminophen/Paracetamol,1
Diphenhydramine hydrochloride,1
Antibody testing,1
laser application on acupoints,1
Medical chart review,1
Participant completed survey,1
Dapirolizumab pegol,1
Anticoagulation,1
Without Anticoagulation,1
Routine care,1
walking,1
Efavaleukin alfa,1
Ad26.COV2.S,1
BNT162b2,1
"BNT162b2, Bivalent",1
Continue IS (B cell depletion therapy),1
Continue IS (MMF or MPA),1
Continue IS (MTX),1
Moderna mRNA-1273,1
"Moderna mRNA-1273, Bivalent",1
Monovalent [B.1.351] CoV2 preS dTM-AS03,1
Withhold IS (B cell depletion therapy),1
Withhold IS (MMF or MPA),1
Withhold IS (MTX),1
Emapalumab,1
Blood draws,1
Clinical data collection,1
Genetic data/DNA/RNA,1
"Other biological samples to biobank (skin, lung and muscle biopsies; bronchoalveolar lavage (BAL fluid)",1
Depletion of CD3/CD19 in an autologous stem cell transplant,1
Acetaminophen/paracetamol,1
Diphenhydramine hydrochloride (HCl),1
Placebo IV,1
SAR441344 IV,1
SAR441344 SC,1
Serum level of IL-17,1
Mycophenolate Mofetil 500mg,1
Autologous Hematopoietic Stem Cell Transplantation,1
C4d evaluation in lupus nephritis in serum and renal tissue,1
PRV-3279,1
Exercise Training,1
ALXN2050,1
Slit2 biomarker,1
mfERG,1
Semi-structured qualitative interview,1
Implicit bias educational modules,1
Individuation Intervention plus implicit bias educational modules,1
ianalumab s.c. q12w,1
ianalumab s.c. q4w,1
placebo s.c.,1
"Data collection: Participant characteristics (Illness course, complications of primary EBV infection and provided treatments)",1
Data collection: Patient reported outcome (Fatigue questionnaires),1
"Data collection: blood samples (analysed for EBV serology, auto-antibody-testing/biobanking, RNA expression analyses, procalcitonin)",1
Smear,1
TJ202 injection,1
Mosunetuzumab,1
Deep breathing,1
Non-invasive auricular electrical transcutaneous vagus nerve stimulation,1
Enpatoran high dose,1
Enpatoran low dose,1
Enpatoran medium dose,1
Naser Al-Husban,1
Ribosomal p2 Autoantibodies as a Serum marker,1
Autoantibodies evaluation in lupus,1
cellcept,1
endoxan,1
Placebo for VIB4920,1
VIB4920,1
MHS552,1
COVID-19 vaccine,1
LEAP Education,1
LEAP Education + Navigation,1
standard therapy,1
Macrophage migration inhibitory factor,1
vitamin D2 ( calciferol ),1
Extra Virgin Olive Oil (EVOO),1
Physical Exercise Program,1
Iptacopan (part 1),1
Iptacopan (part 2),1
Iptacopan + placebo,1
Placebo + standard of care,1
In-person Enhance Fitness,1
Tele-Enhance Fitness,1
MOVES,1
Phone-Based Walk With Ease,1
Placebo for Mycophenolate Mofetil,1
Placebo for Voclosporin,1
ALXN1720,1
"TNFS4, NCF gene",1
Non-invasive transcutaneous vagus nerve stimulation (tVNS),1
Group A (GA)(Aerobic exercise group),1
Group B (GB) (Whole-body vibration (WBV) group),1
Structured training using telehealth,1
LUPKYNIS,1
Evaluation of quality of life,1
Evaluation of vitamin C level in plasma,1
Litifilimab-matching placebo,1
High Fermented Food Dietary Pattern,1
Mediterranean Dietary Pattern,1
energy expenditure programming and low-calories recommended diet programming,1
"laser puncture, energy expenditure programming, and low-calories recommended diet programming",1
Aerobic exercises,1
Calcium and Vit D,1
Progressive resisted exercise training,1
Serum uric acid level,1
KK4277,1
SLE@Duke,1
Observe the clinical outcome and inflammatory cytokines levels in patients with systemic lupus erythematosus (SLE) after being supplemented with Cholecalciferol (Vitamin D3) and Curcumin-Piperine.,1
"Anti JAK1,2",1
Cyclophosphamid,1
Lacteol forte capsules,1
anifrolumab,1
Self-Acupressure,1
Semi-structured interview,1
Stood sample,1
CM313 16 mg/kg,1
CM313 2 mg/kg,1
CM313 4 mg/kg,1
CM313 8 mg/kg,1
BCMA-CD19 cCAR T cells,1
High Intensity Interval Training (HIIT),1
KP104,1
rapid GCs taper,1
ATG,1
CliniMACS® TCR α/β Reagent Kit and CliniMACS® CD19 System,1
Cyclophosphamide 100 mg/Kg,1
Cyclophosphamide 1200 mg/Kg,1
Kidney Transplant,1
Melphalan,1
Total Body Irradiation,1
Angiotensin Converting Enzyme test,1
M5049 high dose,1
M5049 low dose,1
M5049 medium dose,1
Placebo (Normal Saline),1
Blood sample taken at a single time point,1
Herpes Zoster Subunit (HZ/su) Vaccine,1
autologous adoptive T regulatory cell transfer.,1
DXA,1
PROs,1
serum sample,1
Transcranial Direct Current Stimulation,1
data record,1
Human umbilical cord mesenchymal stem cells,1
active laser,1
sham laser,1
Specimen sample,1
Belimumab in SLE patients / Rituximab in RA patients,1
Telitacicept 160 mg,1
Telitacicept 240 mg,1
Baricitinib 2 MG,1
Baricitinib 4 MG,1
Orelabrutinib (High Dose),1
Orelabrutinib (Low Dose),1
Orelabrutinib Placebo,1
Balanced diet,1
Ketogenic diet,1
Valera Smart Phone Application and Care Manager Dashboard,1
Dapagliflozin tablet,1
Parasym 1Hz,1
Parasym 30Hz,1
Sham Intervention,1
Curcumin Oral Capsule,1
Treat-to-target as a new treatment concept,1
